0.050000 0.951229 4.08153e-10
0.100000 0.904837 3.88247e-10
0.150000 0.860708 3.69312e-10
0.200000 0.818731 3.51301e-10
0.250000 0.778801 3.34167e-10
0.300000 0.740818 3.1787e-10
0.350000 0.704688 3.02367e-10
0.400000 0.670320 2.87621e-10
0.450000 0.637628 2.73593e-10
0.500000 0.606531 2.6025e-10
0.550000 0.576950 2.47557e-10
0.600000 0.548812 2.35484e-10
0.650000 0.522046 2.23999e-10
0.700000 0.496585 2.13075e-10
0.750000 0.472367 2.02683e-10
0.800000 0.449329 1.92798e-10
0.850000 0.427415 1.83395e-10
0.900000 0.406570 1.74451e-10
0.950000 0.386741 1.65943e-10
1.000000 0.367879 1.5785e-10
1.050000 0.349938 1.50151e-10
1.100000 0.332871 1.42828e-10
1.150000 0.316637 1.35862e-10
1.200000 0.301194 1.29236e-10
1.250000 0.286505 1.22933e-10
1.300000 0.272532 1.16938e-10
1.350000 0.259240 1.11235e-10
1.400000 0.246597 1.0581e-10
1.450000 0.234570 1.00649e-10
1.500000 0.223130 9.57406e-11
1.550000 0.212248 9.10712e-11
1.600000 0.201897 8.66296e-11
1.650000 0.192050 8.24047e-11
1.700000 0.182684 7.83857e-11
1.750000 0.173774 7.45628e-11
1.800000 0.165299 7.09264e-11
1.850000 0.157237 6.74673e-11
1.900000 0.149569 6.41768e-11
1.950000 0.142274 6.10469e-11
2.000000 0.135335 5.80696e-11
2.050000 0.128735 5.52375e-11
2.100000 0.122456 5.25436e-11
2.150000 0.116484 4.9981e-11
2.200000 0.110803 4.75434e-11
2.250000 0.105399 4.52246e-11
2.300000 0.100259 4.3019e-11
2.350000 0.095369 4.09209e-11
2.400000 0.090718 3.89252e-11
2.450000 0.086294 3.70268e-11
2.500000 0.082085 3.5221e-11
2.550000 0.078082 3.35032e-11
2.600000 0.074274 3.18693e-11
2.650000 0.070651 3.0315e-11
2.700000 0.067206 2.88365e-11
2.750000 0.063928 2.74301e-11
2.800000 0.060810 2.60924e-11
2.850000 0.057844 2.48198e-11
2.900000 0.055023 2.36093e-11
2.950000 0.052340 2.24579e-11
3.000000 0.049787 2.13626e-11
3.050000 0.047359 2.03207e-11
3.100000 0.045049 1.93297e-11
3.150000 0.042852 1.8387e-11
3.200000 0.040762 1.74902e-11
3.250000 0.038774 1.66372e-11
3.300000 0.036883 1.58258e-11
3.350000 0.035084 1.5054e-11
3.400000 0.033373 1.43198e-11
3.450000 0.031746 1.36214e-11
3.500000 0.030197 1.29571e-11
3.550000 0.028725 1.23252e-11
3.600000 0.027324 1.1724e-11
3.650000 0.025991 1.11523e-11
3.700000 0.024724 1.06084e-11
3.750000 0.023518 1.0091e-11
3.800000 0.022371 9.59884e-12
3.850000 0.021280 9.1307e-12
3.900000 0.020242 8.68539e-12
3.950000 0.019255 8.2618e-12
4.000000 0.018316 7.85887e-12
4.050000 0.017422 7.47559e-12
4.100000 0.016573 7.111e-12
4.150000 0.015764 6.76419e-12
4.200000 0.014996 6.43429e-12
4.250000 0.014264 6.12049e-12
4.300000 0.013569 5.82199e-12
4.350000 0.012907 5.53805e-12
4.400000 0.012277 5.26795e-12
4.450000 0.011679 5.01103e-12
4.500000 0.011109 4.76664e-12
4.550000 0.010567 4.53417e-12
4.600000 0.010052 4.31304e-12
4.650000 0.009562 4.10269e-12
4.700000 0.009095 3.9026e-12
4.750000 0.008652 3.71226e-12
4.800000 0.008230 3.53122e-12
4.850000 0.007828 3.359e-12
4.900000 0.007447 3.19518e-12
4.950000 0.007083 3.03935e-12
5.000000 0.006738 2.89111e-12
5.050000 0.006409 2.75011e-12
5.100000 0.006097 2.61599e-12
5.150000 0.005799 2.48841e-12
5.200000 0.005517 2.36704e-12
5.250000 0.005248 2.2516e-12
5.300000 0.004992 2.14179e-12
5.350000 0.004748 2.03733e-12
5.400000 0.004517 1.93797e-12
5.450000 0.004296 1.84346e-12
5.500000 0.004087 1.75355e-12
5.550000 0.003887 1.66803e-12
5.600000 0.003698 1.58668e-12
5.650000 0.003518 1.50929e-12
5.700000 0.003346 1.43569e-12
5.750000 0.003183 1.36567e-12
5.800000 0.003028 1.29906e-12
5.850000 0.002880 1.23571e-12
5.900000 0.002739 1.17544e-12
5.950000 0.002606 1.11811e-12
6.000000 0.002479 1.06358e-12
6.050000 0.002358 1.01171e-12
6.100000 0.002243 9.62369e-13
6.150000 0.002133 9.15434e-13
6.200000 0.002029 8.70787e-13
6.250000 0.001930 8.28318e-13
6.300000 0.001836 7.87921e-13
6.350000 0.001747 7.49493e-13
6.400000 0.001662 7.1294e-13
6.450000 0.001581 6.7817e-13
6.500000 0.001503 6.45095e-13
6.550000 0.001430 6.13633e-13
6.600000 0.001360 5.83706e-13
6.650000 0.001294 5.55238e-13
6.700000 0.001231 5.28159e-13
6.750000 0.001171 5.024e-13
6.800000 0.001114 4.77898e-13
6.850000 0.001059 4.54591e-13
6.900000 0.001008 4.3242e-13
6.950000 0.000959 4.11331e-13
7.000000 0.000912 3.9127e-13
7.050000 0.000867 3.72187e-13
7.100000 0.000825 3.54036e-13
7.150000 0.000785 3.36769e-13
7.200000 0.000747 3.20345e-13
7.250000 0.000710 3.04721e-13
7.300000 0.000676 2.8986e-13
7.350000 0.000643 2.75723e-13
7.400000 0.000611 2.62276e-13
7.450000 0.000581 2.49485e-13
7.500000 0.000553 2.37317e-13
7.550000 0.000526 2.25743e-13
7.600000 0.000500 2.14734e-13
7.650000 0.000476 2.04261e-13
7.700000 0.000453 1.94299e-13
7.750000 0.000431 1.84823e-13
