10	0
20	0
30	0
40	4
50	5
60	20
70	24
80	48
90	43
100	37
110	55
120	46
130	52
140	51
150	44
160	33
170	40
180	35
190	46
200	27
210	29
220	29
230	30
240	25
250	20
260	19
270	14
280	20
290	20
300	14
310	8
320	14
330	14
340	11
350	8
360	3
370	9
380	6
390	7
400	11
410	7
420	1
430	10
440	6
450	2
460	3
470	5
480	3
490	2
500	0
510	2
520	1
530	3
540	2
550	1
560	3
570	3
580	2
590	2
600	4
610	2
620	0
630	3
640	1
650	1
660	2
670	1
680	0
690	3
700	0
710	0
720	0
730	0
740	0
750	0
760	0
770	0
780	0
790	0
800	0
810	0
820	0
830	0
840	1
850	1
860	0
870	0
880	0
890	0
900	1
910	0
920	0
930	0
940	0
950	0
960	0
970	0
980	0
990	0
1000	0
More	1
