100	0
200	0
300	0
400	4
500	13
600	29
700	44
800	56
900	77
1000	61
1100	58
1200	69
1300	48
1400	62
1500	52
1600	39
1700	46
1800	40
1900	35
2000	28
2100	21
2200	23
2300	29
2400	15
2500	24
2600	20
2700	13
2800	4
2900	12
3000	6
3100	9
3200	7
3300	7
3400	5
3500	2
3600	3
3700	5
3800	4
3900	4
4000	1
4100	4
4200	4
4300	7
4400	1
4500	2
4600	0
4700	1
4800	1
4900	3
5000	0
5100	1
5200	0
5300	0
5400	0
5500	0
5600	0
5700	0
5800	0
5900	0
6000	0
6100	0
6200	0
6300	0
6400	0
6500	0
6600	0
6700	0
6800	0
6900	0
7000	0
7100	1
7200	0
7300	0
7400	0
7500	0
7600	0
7700	0
7800	0
7900	0
8000	0
8100	0
8200	0
8300	0
8400	0
8500	0
8600	0
8700	0
8800	0
8900	0
9000	0
9100	0
9200	0
9300	0
9400	0
9500	0
9600	0
9700	0
9800	0
9900	0
10000	0
More	0
