1	0
2	0
3	0
4	1
5	7
6	16
7	23
8	35
9	48
10	35
11	38
12	31
13	48
14	48
15	42
16	41
17	44
18	46
19	36
20	40
21	23
22	30
23	23
24	30
25	23
26	20
27	23
28	22
29	14
30	14
31	16
32	9
33	15
34	11
35	8
36	9
37	13
38	7
39	9
40	13
41	6
42	9
43	5
44	3
45	5
46	6
47	7
48	1
49	1
50	0
51	3
52	0
53	2
54	4
55	2
56	3
57	1
58	2
59	2
60	1
61	1
62	3
63	1
64	1
65	0
66	2
67	0
68	2
69	1
70	0
71	1
72	3
73	0
74	0
75	2
76	0
77	0
78	0
79	0
80	1
81	2
82	1
83	0
84	1
85	0
86	0
87	0
88	0
89	0
90	1
91	0
92	0
93	1
94	0
95	1
96	0
97	0
98	1
99	0
100	0
More	0
